																												Abundances of TMT tag in MS3 (Normalized)							
High	P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	0	303.783	56	56	202	56	1014	113	8.88	630.25	56	cell death;cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	membrane;mitochondrion;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00533, Pf00644, Pf00645, Pf02877, Pf05406, Pf08063"	142	ENSG00000143799.12	1	"Corticotropin-releasing hormone signaling pathway; Nanoparticle triggered regulated necrosis; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; NAD metabolism, sirtuins and aging; NAD+ metabolism; NAD+ biosynthetic pathways"	PARP1	Apoptosis; NF-kappa B signaling pathway; Base excision repair	POLB-Dependent Long Patch Base Excision Repair; Dual Incision in GG-NER; Formation of Incision Complex in GG-NER; Downregulation of SMAD2/3:SMAD4 transcriptional activity; DNA Damage Recognition in GG-NER; HDR through MMEJ (alt-NHEJ); SUMOylation of DNA damage response and repair proteins	35	0		34510.4	20065.9	20624.2	20437.1	11284.9	9422.3	1	
High	Q15393	Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4	0	303.019	53	50	228	50	1217	135.5	5.26	724.57	50	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf03178, Pf10433"	23450	ENSG00000189091.12	16	mRNA Processing	SF3B3	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0		15814.3	21246.6	20959.2	21577.4	12942.6	13751.2	1	
High	P35580	Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3	0	298.41	41	72	142	51	1976	228.9	5.54	466.84	72	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity	"Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514"	4628	ENSG00000133026.12	17	Regulation of Actin Cytoskeleton	MYH10	Salmonella infection; Regulation of actin cytoskeleton; Tight junction	RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate CIT; RHO GTPases activate PKNs	18	6		3145.4	6859.4	6172.7	6758.8	8833.1	10700.7	1	
High	Q12888	TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2	0	294.271	43	52	109	52	1972	213.4	4.7	404.65	52	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	DNA binding;protein binding	"Pf09038, Pf15057"	7158	ENSG00000067369.13	15	ATM Signaling Pathway; ATM Signaling Network in Development and Disease	TP53BP1	NOD-like receptor signaling pathway	G2/M DNA damage checkpoint; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; SUMOylation of transcription factors; Processing of DNA double-strand break ends; Nonhomologous End-Joining (NHEJ)	20	0		10307.9	6659.3	6337.7	5924.2	3287.9	3054.1	1	
High	A0A087WVQ6	Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1	0	292.019	45	60	133	60	1679	191.9	5.69	456.07	60	cell differentiation;cell division;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;endosome;membrane;mitochondrion;vacuole	protein binding;RNA binding;structural molecule activity	"Pf00637, Pf01394, Pf04053, Pf09268, Pf13838"	1213	ENSG00000141367.11	17	Synaptic Vesicle Pathway; VEGFA-VEGFR2 Signaling Pathway; Complement and Coagulation Cascades	CLTC			3	0		6612	3286.2	3637.5	4471.9	18148	18049.7	1	
High	P11388	DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3	0	291.315	46	64	175	50	1531	174.3	8.72	506.34	64	cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00204, Pf00521, Pf01751, Pf02518, Pf08070"	7153	ENSG00000131747.14	17	Gastric Cancer Network 1; Gastric cancer network 2; Retinoblastoma (RB) in Cancer	TOP2A	Platinum drug resistance	SUMOylation of DNA replication proteins; Transcription of E2F targets under negative control by DREAM complex	14	0		16826.7	8353.8	8503.8	10558.7	9997.6	12817	1	
High	Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	0	289.582	66	47	191	46	972	109.4	5	623.5	47	cell organization and biogenesis;metabolic process;response to stimulus	cytosol;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492"	9343	ENSG00000108883.12	17	mRNA Processing	EFTUD2	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	1		13269.3	16063.4	15864.5	15254.4	10711.3	11451	1	
High	P20700	Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2	0	289.441	71	49	350	45	586	66.4	5.16	1093.31	49	regulation of biological process;response to stimulus	membrane;nucleus	catalytic activity;motor activity;protein binding;structural molecule activity	"Pf00038, Pf00932, Pf01576, Pf07888, Pf09726, Pf09731, Pf10186, Pf12128"	4001	ENSG00000113368.11	5	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	LMNB1	Apoptosis	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Breakdown of the nuclear lamina; Initiation of Nuclear Envelope Reformation; Clearance of Nuclear Envelope Membranes from Chromatin; Meiotic synapsis; Depolymerisation of the Nuclear Lamina; Formation of Senescence-Associated Heterochromatin Foci (SAHF); Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; Interleukin-12 family signaling	34	2		37229.9	36436.6	36730.2	36113.4	17025.6	20018.5	1	
High	Q7L014	Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2	0	278.597	56	55	153	55	1031	117.3	9.29	457.89	55	metabolic process;regulation of biological process	cytoplasm;membrane;nucleus	catalytic activity;nucleotide binding;RNA binding	"Pf00270, Pf00271"	9879	ENSG00000145833.15	5		DDX46	Spliceosome	mRNA Splicing - Major Pathway	5	0		7009.3	12795.3	14324.5	14841.6	9971.7	7559.1	1	
High	Q9NR30	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	0	275.376	53	42	178	39	783	87.3	9.28	609.4	42	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf08152, Pf14617"	9188	ENSG00000165732.12	10		DDX21		Major pathway of rRNA processing in the nucleolus and cytosol; B-WICH complex positively regulates rRNA expression	8	3		18766.1	21288.3	21524.3	21627.9	9708.4	7871.8	1	
High	Q9UIG0	Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2	0	273.682	43	62	149	62	1483	170.8	8.48	471.68	62	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00439, Pf00628, Pf10537, Pf15613, Pf15614"	9031	ENSG00000009954.10	7		BAZ1B		Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; B-WICH complex positively regulates rRNA expression	8	0		12924.1	9993.6	10366.6	11225.7	6853.2	6838.1	1	
High	Q02880	DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3	0	272.011	45	64	147	50	1626	183.2	8	445.67	64	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process	cytoplasm;cytosol;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00204, Pf00521, Pf01751, Pf02518, Pf08070, Pf13589"	7155	ENSG00000077097.15	3		TOP2B	Platinum drug resistance	SUMOylation of DNA replication proteins	6	18		24167.9	10969.4	11741.5	11980.1	12500.1	9571.5	1	
High	Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	0	271.459	60	64	123	64	1410	152.4	8.6	406.16	64												0	0		13854.2	9208.5	8807	7350.9	10619.2	8682.6	1	
High	Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	0	270.695	55	42	253	6	825	90.5	6	757.97	42	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cell surface;chromosome;cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00622, Pf13671"	3192	ENSG00000153187.18	1	mRNA Processing	HNRNPU	Spliceosome	mRNA Splicing - Major Pathway	6	48		17485.8	22472.8	21233.2	21820.6	16085.6	13381.8	1	
High	P42704	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"	0	268.268	53	63	159	63	1394	157.8	6.13	484.44	63	cellular component movement;metabolic process;regulation of biological process;transport	chromosome;cytoplasm;cytoskeleton;membrane;mitochondrion;nucleus	catalytic activity;DNA binding;protein binding;RNA binding	"Pf12854, Pf13041, Pf13812"	10128	ENSG00000138095.18	2		LRPPRC		TP53 Regulates Metabolic Genes; Respiratory electron transport	9	0		10482.6	12521.2	11922	8932.5	12165.6	8995.6	1	
High	P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	0	265.877	71	46	171	46	806	89.3	5.26	546.42	46	cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;extracellular;membrane;nucleus;organelle lumen;proteasome	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf00004, Pf00910, Pf01057, Pf01078, Pf02359, Pf02933, Pf05496, Pf05673, Pf06068, Pf07724, Pf07726, Pf07728, Pf09336, Pf13191, Pf13207, Pf13401"	7415	ENSG00000165280.15	9		VCP	Legionellosis; Protein processing in endoplasmic reticulum	Protein methylation; Translesion Synthesis by POLH; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Josephin domain DUBs; Ovarian tumor domain proteases; ABC-family proteins mediated transport; HSF1 activation; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; E3 ubiquitin ligases ubiquitinate target proteins; Neutrophil degranulation; Defective CFTR causes cystic fibrosis; Hedgehog ligand biogenesis	35	0		5920.6	11536.8	12544.2	10385.5	16621.2	13706.8	1	
High	A0A590UJN4	DNA-directed RNA polymerase subunit OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=1	0	264.67	35	59	123	59	1970	217.1	7.37	366.25	59												0	0		8046.6	8443.3	8275.6	8510.4	6603.1	5531.3	1	
High	P16157	Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3	0	264.243	34	51	129	51	1881	206.1	6.01	418.85	51	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;nucleus	protein binding;structural molecule activity	"Pf00023, Pf00531, Pf00791, Pf12796, Pf13606, Pf13637, Pf13857"	286	ENSG00000029534.19	8		ANK1	Proteoglycans in cancer	CHL1 interactions; NrCAM interactions; Interaction between L1 and Ankyrins; Neurofascin interactions; COPI-mediated anterograde transport	16	0		602.2	2501.1	2711.1	4179.5	8119	42649.8	1	
High	P33991	DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5	0	261.072	51	40	159	39	863	96.5	6.74	555.71	40	metabolic process	membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00493, Pf07728, Pf14551"	4173	ENSG00000104738.16	8	Cell Cycle; Gastric Cancer Network 1; Retinoblastoma (RB) in Cancer; G1 to S cell cycle control; DNA Replication	MCM4	Cell cycle; DNA replication	M/G1 Transition; Assembly of the pre-replicative complex; Unwinding of DNA; Regulation of DNA replication; Activation of ATR in response to replication stress; Activation of the pre-replicative complex; Orc1 removal from chromatin; Removal of licensing factors from origins	27	1		10432.4	11286.2	12276.2	13214.9	9546	7052	1	
High	P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	0	260.238	65	41	186	28	732	84.6	5.02	650.91	41	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf00183, Pf02518, Pf13589"	3320	ENSG00000080824.18	14	Nucleotide-binding Oligomerization Domain (NOD) pathway; TNF alpha Signaling Pathway; Corticotropin-releasing hormone signaling pathway; Aryl Hydrocarbon Receptor; EBV LMP1 signaling; Aryl Hydrocarbon Receptor Pathway; Constitutive Androstane Receptor Pathway; NRF2 pathway; VEGFA-VEGFR2 Signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	HSP90AA1	PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway; Estrogen signaling pathway; Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation	"Sema3A PAK dependent Axon repulsion; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Scavenging by Class F Receptors; Neutrophil degranulation; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); vRNP Assembly; Downregulation of ERBB2 signaling; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Constitutive Signaling by EGFRvIII; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; Recruitment of mitotic centrosome proteins and complexes; HSF1 activation; Attenuation phase; eNOS activation; Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants; VEGFR2 mediated vascular permeability; PIWI-interacting RNA (piRNA) biogenesis; Interleukin-4 and 13 signaling"	86	15		7171.9	19686.8	20303.6	20352.8	20935	12003.1	1	
High	P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	0	258.153	63	39	191	26	724	83.2	5.03	652.82	39	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen	enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf00183, Pf02518, Pf13589"	3326	ENSG00000096384.19	6	NRF2 pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	HSP90AB1	Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation; PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway; Estrogen signaling pathway	Sema3A PAK dependent Axon repulsion; HSF1 activation; Attenuation phase; Neutrophil degranulation; Aryl hydrocarbon receptor signalling; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The NLRP3 inflammasome; HSP90 chaperone cycle for steroid hormone receptors (SHR); The role of GTSE1 in G2/M progression after G2 checkpoint	42	1		2544.7	6116.1	6312.6	6219	7963.6	3528.2	1	
High	Q13428	Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	0	257.69	44	58	154	4	1488	152	9.04	491.24	58	cell organization and biogenesis;regulation of biological process;transport	cytosol;nucleus	protein binding;RNA binding;transporter activity	Pf03546	6949	ENSG00000070814.17	5		TCOF1	Ribosome biogenesis in eukaryotes		1	57		10776.1	19041.7	17153.1	15112.4	6359.6	5287.6	1	
High	P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	0	256.035	73	41	344	40	466	53.6	5.12	985.84	41	cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane	protein binding;RNA binding;structural molecule activity	"Pf00038, Pf04111, Pf04156, Pf04732, Pf05622, Pf10186"	7431	ENSG00000026025.15	10	Allograft Rejection; Spinal Cord Injury; Primary Focal Segmental Glomerulosclerosis FSGS; Apoptosis-related network due to altered Notch3 in ovarian cancer; Striated Muscle Contraction; TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition; T-Cell antigen Receptor (TCR)  Signaling Pathway	VIM	Epstein-Barr virus infection; MicroRNAs in cancer	Interleukin-4 and 13 signaling; Caspase-mediated cleavage of cytoskeletal proteins; Striated Muscle Contraction	20	1		29274.6	3407.7	3646.7	3624.1	74580.7	61965.4	1	
High	Q9BQG0	Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2	0	255.552	44	51	156	51	1328	148.8	9.28	509.84	51	cell communication;cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane;nucleus	catalytic activity;DNA binding;protein binding;RNA binding	"Pf04931, Pf05793, Pf11593, Pf12815"	10514	ENSG00000132382.14	17	Energy Metabolism	MYBBP1A		B-WICH complex positively regulates rRNA expression	5	0		14641.9	12417	12130.2	11793.4	5548.3	3946	1	
High	P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	0	254.687	71	49	199	36	577	67.8	6.4	593.32	49	cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process;response to stimulus	cell surface;cytoplasm;cytoskeleton;cytosol;membrane;nucleus	protein binding;RNA binding;structural molecule activity	"Pf00373, Pf00769, Pf09379, Pf09380"	4478	ENSG00000147065.16	X	Glial Cell Differentiation; AGE/RAGE pathway; Regulation of Actin Cytoskeleton	MSN	Leukocyte transendothelial migration; Measles; Proteoglycans in cancer; Regulation of actin cytoskeleton	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 family signaling; Recycling pathway of L1	16	16		9476.7	13392.7	14502.3	14361.4	13528.9	8843.5	1	
