Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	E9PB61	THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1	0	47.505	43	8	28	8	264	27.5	11.05	100.2	8	cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;membrane;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10189	ENSG00000183684.7	17		ALYREF	Herpes simplex infection; mRNA surveillance pathway; RNA transport; Spliceosome		4	0	NA	1408.7	3243.5	3297.9	3598.1	2187.9	1742.2	1	
High	Q8N1G2	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=CMTR1 PE=1 SV=1	0	46.858	15	11	17	10	835	95.3	7.05	47.29	11	metabolic process	cytosol;nucleus	catalytic activity;protein binding	"Pf01585, Pf01728"	23070	ENSG00000137200.12	6		CMTR1; FTSJD2			0	0	NA	231.4	397.1	424.2	412.1	277.4	265	1	
High	Q9Y221	60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1	0	46.684	66	8	29	8	180	20.4	8.51	90.42	8	cell organization and biogenesis	cytosol;nucleus	protein binding;RNA binding	Pf03657	51388	ENSG00000132603.13	16		NIP7		Major pathway of rRNA processing in the nucleolus and cytosol	4	0	NA	1573.5	2165.8	2170.7	2013.1	892	669.5	1	
High	Q9H6F5	Coiled-coil domain-containing protein 86 OS=Homo sapiens OX=9606 GN=CCDC86 PE=1 SV=1	0	46.655	44	13	28	13	360	40.2	10.33	88.42	13		nucleus	protein binding;RNA binding		79080	ENSG00000110104.11	11		CCDC86			0	0	NA	4602.5	3501.3	2863.3	2439.3	804.7	844.4	1	
High	Q8NEF9	Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1	0	46.099	32	15	25	15	429	48.6	9.58	74.48	15	metabolic process;regulation of biological process	cytoplasm;nucleus	RNA binding	Pf09073	153443	ENSG00000151304.5	5		SRFBP1			0	0	NA	3683.4	3532.5	3452.8	3513.2	1576.4	1340.9	1	
High	Q9NZB2	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2	0	45.81	14	13	19	13	1118	121.8	8.88	57.8	13		cytoplasm;cytosol;membrane;nucleus	RNA binding		23196	ENSG00000048828.16	9		FAM120A			0	0	NA	893.6	350.2	345	331.9	1348.2	1092.3	1	Met-loss [N-Term]
High	Q01130	Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4	0	45.786	16	4	39	3	221	25.5	11.85	113.68	4	metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6427	ENSG00000161547.16	17	mRNA Processing	SRSF2	Spliceosome; Herpes simplex infection	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	15	1	NA	1336.3	1497.8	1919.1	2119.9	1472.6	1483.2	1	
High	Q9Y5J1	U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3	0	45.704	27	10	15	10	556	62	8.76	43.96	10	metabolic process	membrane;nucleus	protein binding;RNA binding		51096	ENSG00000011260.13	17		UTP18	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	6	0	NA	500.8	471.8	445.4	437.8	261.6	211.5	1	
High	Q9NVU7	Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3	0	45.625	19	12	24	12	687	79.8	9.25	70.34	12	cell organization and biogenesis;transport	nucleus		"Pf05285, Pf08158"	55153	ENSG00000198301.11	4		SDAD1			0	0	NA	2577.9	2444.3	2601.8	2383.1	1381.5	807.7	1	
High	C9JSZ1	Far upstream element-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1	0	45.215	48	9	28	1	232	24	6.21	85.41	9			RNA binding	"Pf00013, Pf07650, Pf13014"		ENSG00000162613.16	1					0	0	NA	10	54.8	61.6	53.6	31.6	19.4	1	
High	Q8NHQ9	ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3	0	45.139	23	11	19	11	600	68.5	9.25	57.36	11	metabolic process	cytoplasm;cytosol;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf13959"	57696	ENSG00000111364.15	12		DDX55			0	0	NA	759.3	838.3	907.4	854.7	545.6	313.7	1	
High	Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2	0	44.313	24	11	18	10	599	66.1	8.46	64.37	11	regulation of biological process;transport	cytoplasm;cytoskeleton;cytosol;nucleus	protein binding;RNA binding;translation regulator activity	"Pf00013, Pf00076, Pf13014, Pf13083, Pf13893, Pf14259"	10644	ENSG00000073792.15	3		IGF2BP2		Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	2	1	NA	718.2	200.9	233	206.1	1587.9	980.7	1	
High	P62750	60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1	0	44.052	47	8	46	8	156	17.7	10.45	128.7	8	cell organization and biogenesis;cell proliferation;metabolic process;transport	cytoplasm;cytosol;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	"Pf00276, Pf03939"	6147	ENSG00000198242.13	17	Cytoplasmic Ribosomal Proteins	RPL23A	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane	34	0	NA	7603.6	4943.7	4995.8	4349.5	8431.1	6925.1	1	
High	Q01081	Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3	0	43.347	40	8	34	5	240	27.9	8.81	86	8	metabolic process;regulation of biological process;transport	nucleus;spliceosomal complex	metal ion binding;protein binding;RNA binding	"Pf00076, Pf00642, Pf13893"	7307; 102724594	ENSG00000160201.11; ENSG00000275895.6	21	mRNA Processing	U2AF1; LOC102724594; U2AF1L5	Shigellosis; Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	14	4	NA	1714.7	2466.7	2577.9	2498	1585.8	1390.7	1	Met-loss+Acetyl [N-Term]
High	P16989	Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4	0	43.235	28	7	12	5	372	40.1	9.77	46.93	7	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	DNA binding;protein binding;RNA binding	Pf00313	8531	ENSG00000060138.12	12	RalA downstream regulated genes; Apoptosis-related network due to altered Notch3 in ovarian cancer	CSDA; YBX3	Tight junction		3	0	NA	514.5	150.7	133	111.5	273.9	181.8	1	
High	A0A0D9SGE8	PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1	0	42.907	35	13	25	13	366	41.3	8.68	66.69	13	metabolic process;regulation of biological process	nucleus	DNA binding;metal ion binding;protein binding;RNA binding	"Pf13771, Pf13832"	84295	ENSG00000156531.16	X	Mesodermal Commitment Pathway	PHF6			1	0	NA	2408.9	2214.9	2733.4	3220.2	2599.7	2083	1	
High	Q5LJA5	Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=1	0	42.53	37	10	18	10	355	40.4	5.34	57.24	10	metabolic process;regulation of biological process;response to stimulus	cytosol;mitochondrion;nucleus;proteasome	catalytic activity;enzyme regulator activity;protein binding;RNA binding	Pf01088	51377	ENSG00000116750.13	1	TGF-beta Signaling Pathway	UCHL5			1	0	NA	971.5	2018.6	2001.5	1844.5	1378.9	828.4	1	
High	Q8NFH5	Nucleoporin NUP35 OS=Homo sapiens OX=9606 GN=NUP35 PE=1 SV=1	0	41.989	33	8	22	8	326	34.8	9.09	69.08	8	cell organization and biogenesis;metabolic process;regulation of biological process;transport	membrane;nucleus	DNA binding;protein binding;transporter activity	"Pf05172, Pf13893, Pf14605"	129401	ENSG00000163002.12	2		NUP35	RNA transport	Rev-mediated nuclear export of HIV RNA; ISG15 antiviral mechanism; NEP/NS2 Interacts with the Cellular Export Machinery; tRNA processing in the nucleus; Transcriptional regulation by small RNAs; Nuclear Pore Complex (NPC) Disassembly; Regulation of Glucokinase by Glucokinase Regulatory Protein; Vpr-mediated nuclear import of PICs; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA replication proteins; Transport of the SLBP independent Mature mRNA; SUMOylation of RNA binding proteins; Viral Messenger RNA Synthesis; SUMOylation of chromatin organization proteins; Nuclear import of Rev protein;  NS1 Mediated Effects on Host Pathways; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Transport of Ribonucleoproteins into the Host Nucleus; Transport of Mature mRNA derived from an Intron-Containing Transcript; SUMOylation of DNA damage response and repair proteins	64	0	NA	1203.8	1287.3	1289.2	1333.3	897.5	1131.9	1	
High	Q9BRD0	BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1	0	41.968	21	11	20	11	619	70.5	9.86	53.11	11	metabolic process;transport	nucleus	protein binding;RNA binding	Pf09736	84811	ENSG00000137656.11	11		BUD13			0	0	NA	1126.5	1678.1	1656	1547.2	759.9	1045.9	1	
High	P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	0	41.688	28	14	22	14	543	62.6	6.8	52.95	14	response to stimulus	cytoplasm;cytosol;Golgi;nucleus	protein binding;RNA binding	"Pf00515, Pf12895, Pf13414, Pf13424, Pf13432"	10963	ENSG00000168439.16	11		STIP1	Prion diseases	HSP90 chaperone cycle for steroid hormone receptors (SHR)	4	0	NA	559	1307.1	1111.5	967.3	1648.5	991.4	1	
High	M0R0F0	40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1	0	41.659	47	10	47	10	200	22.4	9.55	135.62	10	metabolic process	ribosome	RNA binding;structural molecule activity	Pf00177		ENSG00000083845.8	19					0	0	NA	3843.8	2402.8	2275.9	2080.2	3001.2	3096.2	1	
High	B4DXZ6	Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1	0	41.429	27	12	18	10	608	68.3	6.05	57.88	12	cell death;cell differentiation;regulation of biological process	cytoplasm;cytosol;membrane	protein binding;RNA binding	"Pf00013, Pf05641, Pf12235, Pf13014"	8087	ENSG00000114416.17	3		FXR1			0	2	NA	1098.2	341.1	341.6	407.3	1375.2	1311.2	1	
High	P53999	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3	0	41.246	59	7	30	7	127	14.4	9.6	84.5	7	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;protein binding;RNA binding	Pf02229	10923	ENSG00000113387.11	5		SUB1			0	0	NA	1888	2084.5	2430.7	2181.2	1791.7	3000.4	1	
High	Q13243	Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1	0	41.079	30	9	31	8	272	31.2	11.59	88.36	9	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6430	ENSG00000100650.15	14	mRNA Processing	SRSF5	Herpes simplex infection; Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	14	0	NA	2447.9	1675.7	2224.1	1721.1	1363.8	1272.4	1	
High	Q9NRW3	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	0	40.978	57	7	16	6	190	22.8	7.59	55.5	7	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf05240, Pf08210"	27350	ENSG00000244509.3	22		APOBEC3C		Formation of the Editosome	4	1	NA	387.6	769.8	791.3	873.7	499.2	594.1	1	
High	O94762	ATP-dependent DNA helicase Q5 OS=Homo sapiens OX=9606 GN=RECQL5 PE=1 SV=2	0	39.408	13	13	18	13	991	108.8	8.56	52.54	13	cell division;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;cytosol;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00270, Pf00271, Pf06959"	9400	ENSG00000108469.14	17		RECQL5			0	0	NA	325.8	512.4	514.4	581.7	316.6	229.4	1	
High	Q7Z417	Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1	0	39.393	21	9	12	9	695	76.1	8.7	45.53	9		cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding	Pf15293	57532	ENSG00000108256.8	17		NUFIP2			0	0	NA	927.7	452.4	385.2	385.1	895.6	554.5	1	
High	Q9UN86	Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2	0	38.693	21	9	18	9	482	54.1	5.55	56.35	9	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol	protein binding;RNA binding;structural molecule activity	"Pf00076, Pf02136, Pf14259"	9908	ENSG00000138757.14	4		G3BP2			0	0	NA	1804.8	653.5	689.3	654.2	1425.8	953.7	1	
High	Q16629	Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1	0	38.294	34	9	38	8	238	27.4	11.82	103.15	9	metabolic process;regulation of biological process;transport	cytoplasm;nucleus	metal ion binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6432	ENSG00000115875.18	2	mRNA Processing	SRSF7	Herpes simplex infection; Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	15	1	NA	3490	1917.2	1925.4	2237.9	1458.8	3349.4	1	
High	Q9NVM6	DnaJ homolog subfamily C member 17 OS=Homo sapiens OX=9606 GN=DNAJC17 PE=1 SV=1	0	38.122	36	9	19	9	304	34.7	8.53	60.12	9	metabolic process;regulation of biological process;transport	cytoplasm;nucleus	RNA binding	"Pf00076, Pf00226, Pf13893, Pf14259"	55192	ENSG00000104129.9	15		DNAJC17			0	0	NA	707	1192.9	1052	945	563.2	742.4	1	
High	D6RBQ9	Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1	0	37.998	36	7	62	2	155	15.6	4.91	162.77	7			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000138668.18	4					0	0	NA	999.5	1203.8	1049.7	1199.5	1012.3	1065.6	1	
High	O75494	Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1	0	37.969	29	10	22	10	262	31.3	11.27	67.3	10	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10772	ENSG00000188529.14	1	mRNA Processing	SRSF10; LOC100996657	Spliceosome	mRNA Splicing - Major Pathway	6	0	NA	2262.5	1596.2	1560	1525.3	910.7	1308.7	1	
High	O95758	Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2	0	37.937	29	11	37	7	552	59.7	9.04	102.63	11	cell differentiation;metabolic process;regulation of biological process	nucleus	RNA binding	"Pf00076, Pf13893, Pf14259"	9991	ENSG00000119314.15	9		PTBP3			0	0	NA	505.7	348.3	356.5	449.1	319	306.8	1	
High	P62280	40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3	0	37.934	49	10	43	10	158	18.4	10.3	129.21	10	cell differentiation;cell organization and biogenesis;metabolic process;transport	cytoplasm;cytosol;membrane;ribosome	protein binding;RNA binding;structural molecule activity	Pf00366	6205	ENSG00000142534.6	19	Cytoplasmic Ribosomal Proteins	RPS11	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	38	0	NA	6933.8	4233.3	4192.9	4089.3	8224.5	6996.8	1	
High	Q86U42	Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3	0	37.791	45	8	26	8	306	32.7	5.06	87.51	8	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	8106	ENSG00000100836.10	14	mRNA Processing	PABPN1	Influenza A; mRNA surveillance pathway	Inhibition of Host mRNA Processing and RNA Silencing; mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs	20	0	NA	1598.7	2766.4	2556.7	2380.4	1395.6	1321.5	1	
High	Q92879	CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2	0	36.775	19	8	22	4	486	52	8.46	64.22	8	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;membrane;nucleus	protein binding;RNA binding;translation regulator activity	"Pf00076, Pf13893, Pf14259"	10658	ENSG00000149187.17	11	Adipogenesis; mRNA Processing	CELF1			2	2	NA	503	795	779.9	780.3	725.7	602.7	1	
High	Q13427	Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2	0	36.26	19	12	23	12	754	88.6	10.29	67.3	12	metabolic process	cytosol;nucleus	catalytic activity;protein binding;RNA binding	Pf00160	9360	ENSG00000138398.15	2		PPIG			0	0	NA	1482.1	1731.5	1678.4	1680.9	1044.2	1261.5	1	
High	H7BXY3	ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1	0	36.192	13	13	15	13	1166	130.5	8.56	43.69	13	cell organization and biogenesis;metabolic process	cytosol;mitochondrion	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf04408, Pf07717"	22907	ENSG00000132153.14	3		DHX30			0	0	NA	883.9	334	304.8	259	527.8	357.8	1	
High	A8MQB8	Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1	0	34.876	16	8	15	1	582	65.8	7.62	45.92	8		cytosol	RNA binding	"Pf00013, Pf05641, Pf12235, Pf13014"		ENSG00000102081.13	X	Serotonin and anxiety				1	0	NA	NA	NA	NA	NA	NA	NA	1	
High	O15371	Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	0	34.666	23	9	15	9	548	63.9	6.05	52.86	9	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane	protein binding;RNA binding	Pf05091	8664	ENSG00000100353.17	22	Translation Factors	EIF3D	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"	13	0	NA	1318.3	977.3	1056.1	1143.1	2830.6	1837.4	1	
High	I3L492	Eukaryotic peptide chain release factor subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1	0	34.473	36	7	15	1	208	22.9	9.5	43.2	7	cell organization and biogenesis	cytoplasm	RNA binding	"Pf03463, Pf03464"		ENSG00000120705.12	5					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q06787	Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1	0	33.708	14	8	15	1	632	71.1	7.42	46.75	8	metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding;translation regulator activity	"Pf00013, Pf05641, Pf12235, Pf13014"	2332	ENSG00000102081.13	X	Serotonin and anxiety	FMR1	RNA transport		2	6	NA	349.5	123.3	127.5	115.4	772.9	567.4	1	
High	P46783	40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1	0	33.242	54	10	34	2	165	18.9	10.15	88.6	10	cell organization and biogenesis;metabolic process;transport	cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	Pf03501	6204	ENSG00000124614.13	6	Cytoplasmic Ribosomal Proteins	RPS10	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	38	0	NA	377.2	218.8	183.7	201.2	379.2	312.7	1	
High	P31146	Coronin-1A OS=Homo sapiens OX=9606 GN=CORO1A PE=1 SV=4	0	32.356	23	11	23	10	461	51	6.68	60.74	11	cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus	protein binding;RNA binding	"Pf00400, Pf08953, Pf08954, Pf13094, Pf13863"	11151	ENSG00000102879.15	16		CORO1A	Tuberculosis; Phagosome		2	0	NA	7933.7	628.4	656.3	512.4	855.6	594.6	1	
High	Q99543	DnaJ homolog subfamily C member 2 OS=Homo sapiens OX=9606 GN=DNAJC2 PE=1 SV=4	0	31.994	18	10	12	10	621	72	8.7	29.79	10	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	DNA binding;enzyme regulator activity;protein binding;RNA binding	"Pf00226, Pf00249"	27000	ENSG00000105821.14	7		DNAJC2		Regulation of HSF1-mediated heat shock response	4	0	NA	520.9	269.7	292.6	326.7	457.8	452.3	1	
High	P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	0	31.948	41	9	31	7	282	31.3	9.83	89.28	9	metabolic process;regulation of biological process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6626	ENSG00000077312.8	19	mRNA Processing	SNRPA	Spliceosome	mRNA Splicing - Major Pathway	6	2	NA	1710.5	3220.3	3067	3055.2	2195.2	1891.7	1	Met-loss+Acetyl [N-Term]
High	Q9H2Y7	Zinc finger protein 106 OS=Homo sapiens OX=9606 GN=ZNF106 PE=1 SV=1	0	31.772	6	9	12	9	1883	208.8	7.15	38.45	9	regulation of biological process;response to stimulus	cytosol;membrane;nucleus	metal ion binding;protein binding;RNA binding	Pf00400	64397	ENSG00000103994.16	15		ZFP106; ZNF106			0	0	NA	264	326.5	314.1	324.3	154	115	1	
High	Q9Y3A5	Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4	0	31.721	32	9	19	9	250	28.7	8.75	59.02	9	cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;response to stimulus	cytoplasm;cytoskeleton;cytosol;nucleus	protein binding;RNA binding	"Pf01172, Pf09377"	51119	ENSG00000126524.9	7		SBDS	Ribosome biogenesis in eukaryotes		1	0	NA	1181.9	863.2	839.3	767.5	3638.9	2676.6	1	
High	Q9BXY0	Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2	0	31.478	28	6	15	6	300	35.3	5.38	44.49	6	metabolic process	nucleus	RNA binding	"Pf01778, Pf04874"	84549	ENSG00000198042.10	8		MAK16			0	0	NA	980.4	1132.3	1145.2	1086.4	633.9	561.8	1	
High	H7C4T5	Muscleblind-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=1	0	31.434	32	7	19	5	329	35.8	8.66	50.18	7		cytosol;nucleus	metal ion binding			ENSG00000152601.17	3					0	2	NA	1359.7	1850.1	1810.5	1862.5	1545.9	1469.6	1	
High	A0A0A0MSN9	Negative elongation factor E (Fragment) OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=6	0	31.232	35	8	11	8	333	38.1	9.42	37.2	8	regulation of biological process	membrane	RNA binding	"Pf00076, Pf13893, Pf14259, Pf14605"		ENSG00000204356.13; ENSG00000206268.11; ENSG00000233801.9; ENSG00000206357.11; ENSG00000231044.10; ENSG00000229363.9	6; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_MCF_CTG1					0	0	NA	370.2	705.7	700.5	596.2	545	473.5	1	
High	P61326	Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1	0	31.138	53	9	28	9	146	17.2	6.11	87.73	9	metabolic process;regulation of biological process;transport	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	Pf02792	4116	ENSG00000162385.10	1		MAGOH	mRNA surveillance pathway; RNA transport; Spliceosome	mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Regulation of expression of SLITs and ROBOs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	20	0	NA	3221.5	3360.6	3458.9	3749.4	2143.7	1944.1	1	
